anime_name,anime_review
"Яркая Тихая 2: Вся жизнь проходит незаметно, как долгий осенний дождь","7,6"
Яркая Тихая 2,"8,6"
Яркая Тихая,"8,5"
Мастера Меча Онлайн II: Расследование,"8,3"
Горизонт посреди пустоты: Спешл,"6,2"
Горизонт посреди пустоты 2,"7,2"
Горизонт посреди пустоты,"6,6"
Левиус,"7,7"
Психопаспорт 3,"8,0"
Психопаспорт: Грешники системы — По ту сторону царства,"8,7"
Психопаспорт: Грешники системы — Первый блюститель,"8,3"
Психопаспорт: Грешники системы — Преступление и наказание,"7,9"
Психопаспорт (фильм),"8,6"
Психопаспорт 2,"8,5"
Психопаспорт,"9,0"
Чёрная лиса,"7,5"
Хроники непобеждённого Бахамута,"7,8"
Страна чудес смертников: Обладатель красного ножа,"7,8"
Страна чудес смертников,"7,8"
Усио и Тора OVA,"6,6"
Усио и Тора OVA,"7,1"
Усио и Тора 2,"9,0"
Усио и Тора,"8,8"
Созданный в Бездне: Блуждающие сумерки,"9,3"
Созданный в Бездне: Начало путешествия,"9,2"
Созерцая колготки: Фотосессия,"7,2"
Мальчики Голливуда 2,"4,3"
Мальчики Голливуда,"4,9"
Лидер,"6,8"
Уж не зомби ли это? Среди мертвецов OVA,"7,6"
Уж не зомби ли это? Среди мертвецов,"7,8"
Уж не зомби ли это? OVA,"7,7"
Уж не зомби ли это?,"7,5"
Золотое божество 2 OVA,"8,5"
Золотое божество OVA,"8,3"
Бананя,"8,4"
Бананя: Таинственные друзья,"7,8"
Человек-дьявол: Плач,"8,4"
Мы не можем учиться! OVA,"8,3"
Девчонка не промах 2,"8,5"
Девчонка не промах: Экстра,"8,4"
Кровавый парень: Я не кот,"8,1"
Кровавый парень,"8,1"
Инспекторы чудес Ватикана OVA,"6,7"
Инспекторы чудес Ватикана,"7,9"
Тэнка Хяккэн: Добро пожаловать в зал Мэйдзи!,"5,8"
Аватар короля: Вершина славы,"9,0"
"Небо, где встретились звёзды","9,1"
Выдающиеся звери,"8,3"
Кандагава: Девушки на гидроциклах,"6,3"
Мастер кулинарии,"5,9"
Нулл и Пета,"7,2"
Винтовка прекрасна,"6,4"
Мини-лилии,"5,9"
Лилии на ветру OVA,"6,7"
Лилии на ветру 3,"8,0"
Лилии на ветру: Летние каникулы — Спешлы,"6,8"
Лилии на ветру: Летние каникулы,"7,5"
Лилии на ветру 2,"7,7"
Лилии на ветру: Спешл,"6,6"
Лилии на ветру,"7,7"
Валькирия и любовь,"6,8"
Новый мастер кулинарии,"6,2"
Шерлок из Кабуки-тё,"8,1"
Кулинарные поединки Сомы: Четвёртое блюдо,"8,9"
Жизнь без оружия,"8,6"
Гордость убийцы,"7,6"
Сказка о Хвосте феи: Жрица Феникса,"8,4"
Сказка о Хвосте феи OVA 2,"8,6"
Клинок Бессмертного,"7,8"
Клинок Бессмертного,"8,6"
Шакотан Буги,"6,5"
Власть книжного червя,"8,7"
Созданный в Бездне: Рассвет глубокой души,"9,4"
Семь смертных грехов: Гнев богов,"8,2"
Офисный работник из Африки,"7,1"
Клетка с насекомыми,"5,2"
Мастера Меча Онлайн: Алисизация — Война в Подмирье. Отражение,"8,4"
Фантастическая Звезда Онлайн 2: Эпизод Оракул,"7,0"
Фантастическая Звезда Онлайн 2,"7,3"
"Я сказала, усредни мои способности!","7,8"
"За мной, мои герои: Часть истины","6,8"
Актёры,"7,7"
Вавилон,"7,8"
Пропавшие феи 2,"8,0"
Специальный отдел криминальных расследований: Токунана,"7,6"
Мы не можем учиться! 2,"8,5"
Задержи этот звук! 2,"9,2"
"Добро пожаловать в ад, Ирума!","8,8"
Сумасшедшие ребята,"7,7"
Фантазия Гранблю 2,"7,6"
Лазурный путь,"7,6"
Сверходарённым школьникам даже другой мир нипочём!,"7,7"
Re: Жизнь с нуля в альтернативном мире: Замороженные узы,"8,3"
Z/X: Код воссоединения,"6,1"
Клуб настольных игр,"7,1"
"Этот герой неуязвим, но очень осторожен","8,4"
Дорога зверя,"7,7"
Радиан 2,"8,9"
Команда мечты,"8,5"
"Ты единственная, кто любит Великого Меня?!","8,4"
Ди — охотник на вампиров,"7,7"
Ди — охотник на вампиров: Жажда крови,"8,9"
"Моб Психо 100 2: Путешествие, которое склеивает сердце и исцеляет душу","8,6"
Маги: Приключение Синдбада,"8,6"
Маги: Приключение Синдбада,"9,0"
Маги: Королевство магии,"9,0"
Маги: Лабиринт магии,"8,7"
Ангельские ритмы!,"8,6"
Кузнец святого меча,"7,2"
Хочу стать сильнейшей в мире! Спешлы,"5,3"
Хочу стать сильнейшей в мире!,"5,8"
Дневник Анны Франк,"7,5"
Врата Штейна 0: Валентинов кристаллический полиморфизм с горько-сладкой начинкой,"8,6"
Сними меня,"6,9"
Моя геройская академия: Восхождение героев,"8,9"
Моя геройская академия 4,"8,9"
Госпожа Умница,"6,0"
Госпожа Умница. Фильм 1,"8,4"
Госпожа Умница. Фильм 2,"8,3"
Связанные миры,"7,0"
Связанные миры,"6,6"
Абсолютный дуэт,"7,6"
Кэнган Асура. Часть 2,"8,8"
Военная хроника маленькой девочки. Фильм,"8,4"
Маска героя 2,"6,8"
Судьба/Ночь схватки: Прикосновение небес,"8,6"
Судьба/Ночь схватки: Прикосновение небес 2,"8,9"
Пушечные снаряды,"6,8"
Неуязвимая Левиафан,"6,2"
Клетка духа: Воплощение,"8,1"
Томиэ,"7,6"
Райдбэк,"7,5"
"Было бы лучше, если бы здесь была только младшая сестра ONA: Спешлы","5,8"
Принц тенниса: Лучшие игры,—
Принц тенниса: Решающая теннисная битва в английском замке!,"6,0"
Принц тенниса: Спешлы,—
Принц тенниса: Послание в бутылке,—
Принц после школы,—
Новый принц тенниса OVA,"6,5"
Новый принц тенниса: Спешлы,"6,0"
Новый принц тенниса,"6,8"
Принц тенниса: Другая история 2. Бонус,—
Принц тенниса: Другая история 2,"5,0"
Принц тенниса: Другая история — Сообщения из прошлого и будущего,"5,2"
Принц тенниса: Национальный турнир. Финал,"6,6"
Принц тенниса: Национальный турнир. Полуфинал,"6,4"
Принц тенниса: Национальный турнир,"6,9"
Принц тенниса: Подарок Атобэ,—
"Принц тенниса: Два самурая, первая игра","5,9"
Принц тенниса: Новогодний выпуск,—
Принц тенниса: День выживания в горах,"6,2"
Принц тенниса,"8,3"
Арифурэта: Сильнейший ремесленник в мире — Дополнительные эпизоды,"7,8"
Арифурэта: Сильнейший ремесленник в мире — Рекап,"7,6"
Судьба/Великий приказ,"7,4"
Великий правитель,"7,3"
Акира,"8,3"
Любовные неприятности: Тьма 2 — Спешлы,"7,9"
"Любовные неприятности: Мультипликация — Спереди, сзади","7,8"
Любовные неприятности: Тьма 2 OVA,"7,9"
Любовные неприятности: Тьма 2,"8,2"
Любовные неприятности: Тьма OVA,"8,2"
Любовные неприятности: Тьма,"8,1"
Ещё больше любовных неприятностей,"8,0"
Любовные неприятности OVA,"7,8"
Любовные неприятности,"7,8"
Розарио + Вампир 2,"8,0"
Розарио + Вампир,"7,7"
Шумиха! Спешлы,"7,7"
Шумиха!,"8,2"
Судьба/Великий приказ: Вавилония,"8,7"
Судьба/Великий приказ: Вавилония — Начало путешествия,"7,7"
Фи Брейн: Загадка Бога 3,"7,4"
Фи Брейн: Загадка Бога - Орден Орфея,"7,5"
Фи Брейн: Загадка Бога,"7,7"
Магистр дьявольского культа 2,"9,4"
Рыцари усердия,"6,9"
"А ты думал, что твоя жена в онлайн-игре на самом деле не девушка?","7,1"
Кэнган Асура,"8,5"
H2O: Следы на песке,"6,7"
Баунти Дог,"6,5"
5 сантиметров в секунду,"7,8"
Паладин на поле,"8,1"
11 глаз: Спешл,"5,5"
11 глаз,"5,9"
Бандитос,"8,7"
Дорога под Небом,"5,9"
Доводчики: Отряд «Чёрные агнцы»,"6,6"
Шаман Кинг: Спешлы,"8,5"
Шаман Кинг,"9,2"
Аватар короля 2,"8,9"
Хранитель вечности OVA,"8,4"
Один на вылет,"9,1"
Вперед! Вперед! 575 — Спешл,"5,5"
Вперед! Вперед! 575,"5,0"
Чара-хранители! Вечеринка!,"7,5"
Чара-хранители!! Сердцебиение,"8,0"
Чара-хранители!,"8,3"
Дни мечты,"5,8"
Планета Короля Зверей,"7,7"
Босоногий Гэн 2,"8,4"
Босоногий Гэн,"9,1"
Меч правды,"5,3"
Психические войны,"5,2"
Школьной романтической комедии мешают мои мысленные выборы OVA,"7,6"
Школьной романтической комедии мешают мои мысленные выборы,"8,0"
Дарованный,"9,1"
Проект Урда,"4,5"
Деревенская глубинка: Каникулы,"8,4"
Деревенская глубинка 2: И вновь прекрасные деньки,"8,2"
Деревенская глубинка 2,"8,4"
Деревенская глубинка: Мы решили отправиться на Окинаву,"8,2"
Деревенская глубинка,"8,4"
"Если будешь не занят, спасёшь меня от апокалипсиса?","8,7"
О моём перерождении в слизь OVA,"8,9"
"Готов ли ты влюбиться в извращенку до тех пор, пока она милая?","7,4"
Страсть на кончиках пальцев: Мой друг детства — пожарный,"7,3"
Одуванчик из призамкового города,"7,5"
Бэм,"7,6"
Городская дьяволица,"7,8"
Ради своей дочери я смогу победить даже короля демонов,"8,6"
"Астра, затерянная в космосе","9,1"
Насколько тяжёлые гантели ты сможешь поднять?,"8,2"
Эксперименты Лэйн,"8,5"
"Может, я встречу тебя в подземелье? 2","8,5"
Озорная Такаги 2,"8,5"
Мастерство копа,"8,4"
Отвергнутый священный зверь,"7,7"
Школа-тюрьма: Мастерское скольжение,"8,5"
Школа-тюрьма,"8,5"
Прекрасная бабочка: Юный Нобунага,"8,3"
Бедствие ли это?,"7,6"
Доктор Стоун,"9,3"
Сезон беспокойных дев,"7,6"
Дневник мистических существ,"7,1"
Пламенная бригада пожарных,"9,0"
Бездельные дни старшеклассницы,"8,0"
7 семян,"7,5"
Фокусница-старшеклассница,"7,3"
"Ты же любишь мамочку, удары которой бьют по площади двойным уроном?","6,5"
Гранбелм,"6,4"
Некий научный Акселератор,"8,4"
"Король демонов, попытайтесь снова!","8,3"
На твоей волне,"8,5"
Клубничная тревога!,"8,0"
Закрыты в рамках. Геном [Прямая трансляция],"8,1"
Маг-обманщик из другого мира,"6,7"
Досье лорда Эль-Меллоя II,"8,5"
Сага о Винланде,"9,4"
Арифурэта: Сильнейший ремесленник в мире,"8,1"
Ниндзя Нобунаги: Эпизод 0,"7,1"
Ниндзя Нобунаги 3,"7,4"
Ниндзя Нобунаги 2,"7,4"
Ниндзя Нобунаги,"7,7"
Не сдавайся!,"9,1"
Дитя погоды,"9,1"
Музыкальная школа звёзд 2: Дополнительные эпизод,—
Музыкальная школа звёзд 2 OVA,—
Музыкальная школа звёзд OVA,—
Музыкальная школа звёзд,"6,2"
Музыкальная школа звёзд 2,"5,7"
Музыкальная школа звёзд 3,"5,5"
Остров гигантских насекомых,"5,6"
Песня боевых принцесс: Мехасимфония,"6,6"
Песня боевых принцесс: Мехасимфония 2,"6,4"
Песня боевых принцесс: Мехасимфония 3,"6,0"
Песня боевых принцесс: Мехасимфония 4,—
Песня боевых принцесс: Мехасимфония 5,—
Улица демонов: Рекапы,"7,2"
Улица демонов,"8,1"
Нодамэ Кантабиле OVA 2,—
Нодамэ Кантабиле: Финал — Эпизод 0,"7,1"
Нодамэ Кантабиле OVA,"6,4"
Нодамэ Кантабиле: Спешл,"6,6"
Нодамэ Кантабиле: Финал,"7,9"
Нодамэ Кантабиле: Парижская глава,"8,1"
Нодамэ Кантабиле,"8,5"
Триган: Переполох в пустошах,"9,0"
Триган,"9,2"
Звёзды ансамбля!,"8,1"
Хост-клуб Оранской школы,"9,2"
Хроники клуба Возвращения домой,"5,8"
Волчица и пряности II: Спешлы,"8,3"
Волчица и пряности II: Волчица и янтарная меланхолия,"8,9"
Волчица и пряности II,"9,2"
Волчица и пряности,"9,2"
Волчий дождь: Финал,"8,9"
Волчий дождь,"8,9"
Тетрадь дружбы Нацумэ: Эфемерная связь,"9,0"
Высокая скорость: Так начинался «Вольный стиль!»,"8,8"
Ван-Пис: Золотое сердце,"7,8"
Вольный стиль! Заплыв в будущее — Эпизод 0,"8,2"
Вольный стиль! Займите свои позиции,"8,6"
Вольный стиль! Вечное соревнование — Узы,"8,1"
Вольный стиль! Вечное соревнование — Обещание,"8,2"
Вольный стиль! Вечное лето — Спешл,"8,2"
Вольный стиль! Вечное лето,"8,7"
Вольный стиль! Спешлы,"8,2"
Вольный стиль!,"8,4"
Герой Юки Юна: История Вашио Суми — Клятва,—
Герой Юки Юна: История Вашио Суми — Душа,—
Герой Юки Юна: История Вашио Суми — Друг,"5,0"
Герой Юки Юна: Солнечное место,—
Герой Юки Юна: Глава Суми Васио,"5,9"
Герой Юки Юна,"7,1"
"Эй, у тебя ушки торчат! 2","8,8"
"Эй, у тебя ушки торчат!","8,6"
"Как и ожидалось, моя школьная романтическая жизнь не удалась 2 OVA","8,8"
"Как и ожидалось, моя школьная романтическая жизнь не удалась 2","8,8"
"Как и ожидалось, моя школьная романтическая жизнь не удалась OVA","8,6"
"Как и ожидалось, моя школьная романтическая жизнь не удалась","8,7"
Боевая лига: Мастера меха-гаджетов,"5,9"
Промар,"8,2"
Планетарианка: Мечта одинокой звёздочки,"8,8"
Планетарианка: Звёздный странник,"9,1"
Страна самоцветов,"9,0"
Феи из бутылки,"6,1"
Красноволосая принцесса Белоснежка OVA,"8,8"
Красноволосая принцесса Белоснежка 2,"8,9"
Красноволосая принцесса Белоснежка,"8,6"
А всё-таки город вертится,"7,2"
Адская девочка: Разговоры в сумерках,"7,5"
Адская девочка: Три пути,"7,7"
Адская девочка: Двое заключенных,"8,2"
Адская девочка,"7,8"
Z/X: Зажигание,"6,0"
Прекрасный ритм: Король Призмы,—
Король Призмы: Семь сияющих звёзд,—
Король Призмы: Семь сияющих звёзд,"5,2"
За гранью: Мини-театр,"7,7"
За гранью: Я буду рядом — Спешл,"8,3"
За гранью: Я буду рядом — Прошлое,"8,5"
За гранью: Я буду рядом — Будущее,"8,9"
За гранью: Плевать на чувства — я тебя засужу,"6,9"
За гранью: Рассвет,"8,5"
За гранью,"8,5"
Созерцая колготки,"7,3"
Девушки и танки: Внедрение!,"7,6"
Девушки и танки,"8,0"
Девушки и танки,"8,3"
Девушки и танки: Битва за Арису!,"8,0"
В этом уголке мира,"8,7"
Одноклассник,"8,9"
Код Гиас: Лелуш воскресший,"8,7"
Код Гиас: Восставший Лелуш — Император,"8,7"
Код Гиас: Восставший Лелуш — Пробуждение,"8,6"
Код Гиас: Восставший Лелуш — Восстание,"8,6"
А вот и чёрная колдунья!,"6,5"
Темный мститель Дарксайд,"7,0"
Невероятное приключение ДжоДжо: Несокрушимый алмаз,"9,1"
Невероятное приключение ДжоДжо: Рыцари звёздной пыли 2,"9,4"
Невероятное приключение ДжоДжо OVA (1993),"8,2"
Невероятное приключение ДжоДжо OVA (2000),"8,0"
Невероятное приключение ДжоДжо: Рыцари звёздной пыли,"9,3"
Невероятное приключение ДжоДжо,"8,9"
Поп и Кью,"6,8"
Эроманга-сэнсэй OVA,"8,0"
Порочная ночь со священником,"4,0"
Невероятное приключение ДжоДжо: Золотой ветер,"9,2"
Императорская наложница,"8,8"
Королевский репетитор: Фильм,"8,7"
Мой сосед Токоро,"5,8"
Королевский репетитор,"8,6"
Ультрамен,"4,1"
Атака титанов 3. Часть 2,"9,4"
Банщик: Я и она в женской бане?!,"7,6"
Повседневная жизнь старшеклассников: Спешлы,"7,9"
Повседневная жизнь старшеклассников,"8,4"
Сарадзаммай,"7,3"
Кабанэри железной крепости 3: Битва за Унато,"8,8"
Кабанэри железной крепости: Война — Начало следа,"7,9"
Кабанэри железной крепости,"8,5"
Миллион Артуров: Спешл,—
Миллион Артуров 2,"6,2"
Заботливая 800-летняя жена!,"8,6"
Квартет из альтернативного мира,"8,0"
РобиХати,"7,4"
Да здравствует Амитабха: Лотус Утены,"7,1"
Тринити: Семеро магов OVA,"8,4"
Любовь эпохи Мэйдзи,"7,3"
Тринити: Семеро магов,"8,0"
О моём перерождении в слизь: Дневник Вельдоры,"8,4"
"Звучи, эуфониум! Последняя клятва","8,4"
Вайолет Эвергарден: Вечность и призрак пера,"9,2"
"Вайолет Эвергарден: День, когда ты поймешь, что я люблю тебя, обязательно наступит","9,3"
"Зачем Вы здесь, учитель?!","8,1"
Оккультные служащие полуночи OVA,—
Оккультные служащие полуночи,"8,3"
Пропавшие феи,"7,2"
Корзинка фруктов,"8,2"
Тринити: Семеро магов — Вечная библиотека и девушка-алхимик,"8,3"
Тринити: Семеро магов — Небесная библиотека и Багровый Король,"8,4"
Кэрол и Тьюсдей,"8,9"
Штурмовые ведьмы: 501-й отряд поднимается в небо!,"6,9"
Внук мудреца,"8,1"
Девять золушек в августе,"6,6"
Корона грешника: Потерянное Рождество,"8,0"
Корона грешника: Спешлы,"7,1"
Корона грешника: Рекомбинация,"7,8"
Корона грешника,"8,3"
Корзинка фруктов (2019),"9,0"
Исчезнувший город,"6,5"
Задержи этот звук!,"9,0"
Магмел синего моря,"7,3"
Беззаботная старшеклассница,"6,1"
Ускоренная девушка ⅙,"6,1"
Жизнь не в одиночку,"7,8"
Похотливая Ао не может учиться,"7,8"
Юная невеста Нобунаги,"6,4"
Мастера Меча Онлайн: Алисизация — Война в Подмирье,"8,7"
Мы не можем учиться!,"8,3"
Микс: История Мэйсэй,"5,8"
Девушка-сэнрю,"8,0"
Парень из эпохи Бакумацу 2,"6,7"
Заметки Ятогамэ,"7,0"
Великий из бродячих псов 3,"9,1"
"Юно: Девушка, что воспевает любовь на грани этого мира","8,2"
Заказывали кролика? 2,"8,0"
Заказывали кролика?,"7,8"
Члены школьного совета 2 OVA,"8,0"
Члены школьного совета 2,"8,1"
Члены школьного совета OVA,"8,1"
Члены школьного совета,"7,9"
История одержимости,"8,5"
Цикл историй: Второй сезон,"9,0"
Истории подделок,"8,7"
Истории монстров,"8,6"
История кошки: Чёрная глава,"8,3"
Истории ран. Часть 3: Холодная кровь,"9,1"
Истории ран. Часть 2: Горячая кровь,"8,9"
Истории ран. Часть 1: Железная кровь,"8,6"
Ангел кровопролития: Спешлы,"8,1"
Путь аса: Второй акт,"8,9"
Путь аса 2 OVA,—
Путь аса 2,"8,7"
Путь аса OVA,—
Путь аса,"8,7"
"Клинок, рассекающий демонов","9,3"
Члены школьного совета,"7,9"
Заказывали кролика? 2 — Моя дорогая сестра,"7,6"
Истории Коёми,"8,3"
История финала,"8,7"
История финала 2,"8,9"
История цветов,"8,4"
Кулинарные поединки Сомы: Третье блюдо — Часть II OVA,"8,5"
История финала: Продолжение,"8,8"
Очаровательная богиня еды,"8,4"
Блич: Воспоминания под дождём,"8,5"
Двенадцать королевств,"8,5"
Горячий парень Джей: Спешл,—
Горячий парень Джей,"6,8"
Империя мёртвых,"8,1"
Моя геройская академия: Восхождение Всемогущего,"8,3"
Re: Жизнь с нуля в альтернативном мире: Снежные воспоминания,"8,4"
Уиз: Спешл,—
Маска героя,"7,2"
Доблесть рыцаря-неудачника,"8,3"
Судьба/Начало 2,"9,0"
Судьба/Начало,"8,7"
Мастера Меча Онлайн: Алисизация — Рекап,"8,4"
Школьные войны 4: Экстремальный Иксполнитель — Спешлы,"6,1"
Семь смертных грехов 2 OVA,"7,9"
Школьные войны 4: Экстремальный Иксполнитель,"6,9"
Школьные войны 3: Великие стражи,"6,8"
Демон против демонов,"8,6"
Пустынная крыса,"8,3"
Хеллсинг: Рассвет,"7,5"
Хеллсинг: Обзор для фриков,"8,0"
Хеллсинг Ultimate,"9,3"
Хеллсинг: Война с нечистью,"8,7"
Эпоха смут: Последняя вечеринка,"6,5"
Эпоха смут 3,"6,2"
Эпоха смут 2,"6,9"
Евангелион 3.33: Ты (не) исправишь,"8,5"
Евангелион 2.22: Ты (не) пройдешь,"8,8"
Евангелион 1.11: Ты (не) один,"8,6"
Евангелион: Конец Евангелиона,"8,9"
Евангелион: Смерть и перерождение,"8,2"
Евангелион,"8,8"
Царство 2,"9,2"
Царство,"8,5"
Рояль в лесу 2,"8,3"
Мелочи жизни: Эпизод 0,"7,5"
Мелочи жизни,"8,7"
Самурай Чамплу,"9,3"
Брошенный кролик: Спешлы,"9,0"
Брошенный кролик,"9,2"
Невиданный цветок,"8,4"
Невиданный цветок,"8,6"
Школа мертвецов: Мёртвые бродяги,"8,2"
Школа мертвецов,"8,5"
"Досье лорда Эль-Меллоя II: Могильщица, кошка и маг","8,1"
Призрак в доспехах: Синдром одиночки,"8,7"
Сёва-Гэнроку: Двойное самоубийство по ракуго OVA,—
Сёва-Гэнроку: Двойное самоубийство по ракуго 2,"8,7"
Сёва-Гэнроку: Двойное самоубийство по ракуго,"8,7"
Эпоха смут,"7,2"
Суперданганронпа 2.5 — Нагито Комаэда и разрушитель мира,"7,9"
Данганронпа 3: Конец школы надежды — Надежда,"7,9"
Данганронпа 3: Конец школы надежды — Отчаяние,"7,8"
Данганронпа 3: Конец школы надежды — Будущее,"7,6"
Баки OVA,"6,5"
Боец Баки (1994),"7,9"
Боец Баки II,"8,5"
Боец Баки,"8,6"
Школьные войны 2: Судьба Дракона — Спешлы,"6,3"
Школьные войны 2: Судьба Дракона,"7,3"
Школьные войны,"6,6"
Гуррен-Лаганн: Звёздный свет,"9,1"
Гуррен-Лаганн: На прорыв!,"9,0"
Гуррен-Лаганн: Спешл,"8,7"
"Гуррен-Лаганн, пронзающий небеса: Мой Гуррен сияет!!","8,5"
Гуррен-Лаганн,"9,4"
Мирай из будущего,"8,2"
Старшая школа DxD: Рождение — Эпизод 13,"8,3"
Старшая школа DxD: Герой — Эпизод 0,"7,6"
Покемон,"8,2"
Сила тысячи: Волки Запада,"5,1"
Пустынная эскадрилья Котобуки,"7,2"
Эндро!,"7,2"
Госпожа Кагуя: в любви как на войне,"8,9"
Домекано,"8,2"
Ура мечте!,"7,8"
Ура мечте! 2,"7,6"
Мастер муси: Следующая глава 2,"9,2"
Мастер муси: Следующая глава,"9,2"
Рыцари Сидонии,"7,5"
Рыцари Сидонии: Битва за девятую планету,"8,3"
Рыцари Сидонии,"8,2"
Любовь эпохи Мэйдзи,"8,1"
Дымная трава,"6,9"
"В лес, где мерцают светлячки","9,1"
Школа между измерениями,"2,9"
Рандеву с жизнью: Суд Маюри,"8,6"
Рандеву с жизнью 2: Куруми на фестивале звёзд,"9,2"
Рандеву с жизнью 2,"8,6"
Рандеву с жизнью OVA,"8,6"
Рандеву с жизнью,"8,3"
Бугипоп никогда не смеётся,"6,9"
Удар крови,"7,7"
Диадема принцессы,"6,1"
Реальная девушка 2,"9,0"
Проект-Б: Кульминационные эмоции,"5,2"
Ангел спустился ко мне!,"7,7"
По ту сторону океана,"8,6"
Укрась прощальное утро цветами обещания,"9,2"
Безумный азарт 2,"8,1"
Твоя апрельская ложь OVA,"8,5"
Твоя апрельская ложь,"9,1"
Пастельные воспоминания,"6,2"
Дороро,"9,3"
Неуклюжая Уэно,"7,0"
Семь смертных грехов: Узники небес,"8,4"
Восхождение героя щита,"9,1"
Девочки-волшебницы: Специальная операция,"7,1"
Блейм! Пролог,"5,3"
Блейм! Спешл,"5,4"
Блейм!,"6,4"
"Блейм! Город, что умирает с древности","8,1"
Ревизия,"6,1"
Мастер муси,"9,2"
Спящая принцесса: Неизвестная история обо мне,"8,0"
Рандеву с жизнью 3,"8,7"
"Может, я встречу тебя в подземелье? Стрела Ориона","8,7"
Разноцветная пастораль: Из Бермудского треугольника,—
Ярость Бахамута: Друзья из Манарии,"6,5"
Пять невест,"8,7"
Заметки Гримм,"6,6"
Девичьи воздушные силы,"7,4"
Я хочу съесть твою поджелудочную,"9,1"
"Домашний питомец, иногда сидящий на моей голове","8,9"
Уиз,"6,1"
Угрюмый заклинатель духов 2,"8,8"
Угрюмый заклинатель духов,"8,7"
Цена улыбки,"7,1"
Клетки за работой: Простуда,"8,5"
Бугипоп никогда не смеётся (2019),"7,7"
Бек,"9,2"
Моб Психо 100 2,"9,2"
Экзотическая семейка 2,"7,4"
Экзотическая семейка,"7,5"
Обещанный Неверленд,"9,3"
Клуб стрельбы из лука,"8,9"
Ингресс,"6,1"
Маг на полную ставку 3,"8,3"
Маг на полную ставку 2,"7,8"
Маг на полную ставку,"7,9"
Ученик чудовища,"9,1"
Секретное назначение девушек-ниндзя OVA,"6,9"
Секретное назначение девушек-ниндзя 2,"6,3"
Секретное назначение девушек-ниндзя,"6,0"
История Мерк,"7,0"
Цирк марионеток,"8,3"
Улисс: Жанна д'Арк и рыцарь-алхимик,"6,5"
Освобождение шпионов,"7,2"
Радиан,"8,2"
Из завтрашнего дня разноцветного мира,"8,8"
Джульетта из школы-интерната,"8,3"
Сумо Хиномару,"8,5"
Взрыв!,"8,1"
В конечном счёте я стану твоей,"8,1"
Моя горничная слишком надоедливая!,"7,6"
Госпожа Вампир по соседству,"7,8"
Зомбиленд. Сага,"7,5"
Между небом и морем,"6,1"
Меч Жёлтого императора. Бледное сияние,"6,6"
Мастера Меча Онлайн: Алисизация,"8,8"
Космический линкор Тирамису 2,"5,5"
О моём перерождении в слизь,"9,1"
Гридмен,"6,8"
Почувствуй ветер,"9,3"
Индекс волшебства,"7,8"
Индекс волшебства II,"8,0"
Индекс волшебства III,"8,1"
Откуда лучше всего видно фейерверк: снизу или сбоку?,"7,4"
Сказка о Хвосте феи 3: Финал,"8,9"
"Моя единственная любовь — младшая сестрёнка, хоть она и не сестрёнка","6,7"
Первоклассный адвокат 2,"8,6"
Первоклассный адвокат,"8,2"
Денежное поле 2,"4,2"
Золотое божество 2,"9,2"
Суши-полиция,"5,2"
Зачатие: Роди мне ребёнка!,"5,0"
Девичьи кричалки!,"6,6"
"RErideD: Деррида, покоривший время","7,1"
Задушевный голос,"7,6"
Великий из бродячих псов: Сгнившее яблоко,"9,1"
Шарлотта: Спешл,"8,8"
Шарлотта,"9,1"
Агу: Гениальные куклы,—
Этот глупый свин не понимает мечту девочки-зайки. Фильм,"9,4"
Этот глупый свин не понимает мечту девочки-зайки,"9,2"
Токийский гуль 4: Перерождение 2,"8,0"
Двойной удар: Даг и Кирилл,"7,3"
Парень из эпохи Бакумацу,"7,0"
Миллион Артуров,"5,9"
Девушки в багряном свете,"6,1"
Убийца гоблинов,"8,8"
Как госпожа Вельзевул пожелает,"7,8"
Книжник-скелет Хонда,"8,1"
Угроза для парня №1,"8,8"
Школа смут,"4,9"
Пристанище для потерянных,"7,1"
Данганронпа: Школа надежды и безнадёжные школьники,"8,2"
"Активный рейд: Мобильная боевая дивизия, восьмой отряд 2",—
"Активный рейд: Мобильная боевая дивизия, восьмой отряд","5,9"
91 изумление,"6,2"
91 день: День 13,"8,3"
91 день: Рекап,"8,1"
91 день,"8,9"
Заводной дух войны: Альдерамин в небе,"8,4"
Бюро паранормальных расследований Мухё и Родзи,"7,8"
Фури-кури 3,"6,0"
Фури-кури,"8,6"
Фури-кури 2,"6,8"
Супердраконий жемчуг: Герои — Миссия «Вселенная»,"7,0"
Меч Гая 2,"6,5"
Магистр дьявольского культа,"9,3"
Планета Уит,"6,4"
Неприятности одной девушки-зомби,"6,3"
Дзёсиоти: Девушка свалилась со 2-го этажа!,"6,7"
Девичья опера: Свет ревю,"6,8"
Гинтама 8,"9,1"
Страна снов и 100 спящих принцев,"6,6"
Кайдзи 2,"8,5"
Кайдзи,"8,7"
Менеджер среднего звена Тонэгава,"7,1"
Юна и горячие источники с призраками,"8,3"
Юна из гостиницы Юраги,"8,3"
Цукумогами напрокат,"6,6"
Смотрительница Сунохары,"8,2"
Небесные волки: Сириус-егерь,"8,4"
Из одной комнаты: Спешл,—
Из одной комнаты: Сосед,"5,1"
Из одной комнаты 2,"6,8"
Из одной комнаты,"6,2"
Баки,"8,6"
Владыка Вермилиона: Король алого лотоса,"6,1"
"Холмс на Тэрамати-Сандзё, Киото","7,8"
Дропкик злого духа,"7,2"
