anime_name,anime_review
Мобильный воин Гандам: Ведьма с Меркурия 2,"8,1"
Волшебник-воин Орфен 4,"6,7"
Тень любви в тайной комнате,"8,8"
Маргинальная служба,"5,7"
Смертельная игра Мёртвой горы,"8,3"
Слишком милый кризис,"7,9"
Плохие девчонки Рокудо,"7,1"
Терраса кафе богинь,"8,3"
Галактика по соседству,"8,1"
В бегах: Великая миссия,"4,9"
Юри — это моя работа!,"6,4"
Герой мёртв!,"7,5"
Читерский навык из другого мира сделал меня непобедимым в моём,"7,3"
Деятельность Бога в мире без богов,"7,7"
Долой безделье!,"8,9"
О моём перерождении в слизь: Алые узы,"8,9"
Нулевой Эдем 2,"7,9"
Мой домашний герой,"8,2"
Пустоголовый переведённый ученик,"7,9"
Призванный в другой мир во второй раз,"6,3"
Опасность в моём сердце,"8,5"
Моя любовь к Ямаде 999 уровня,"8,9"
Госпожа Кагуя: в любви как на войне — Первый поцелуй никогда не заканчивается,"9,2"
Великая небесная стена,"9,0"
Принесённая в жертву Принцесса и Царь зверей,"8,8"
"Клинок, рассекающий демонов: Деревня кузнецов","9,2"
Микс: История Мэйсэй 2,"5,4"
Адский рай,"9,3"
Невообразимые приключения перерождённого дворянина,"7,9"
Невеста чародея 2,"8,9"
Невеста герцога по контракту,"8,9"
Птичье крыло: История гольфисток 2,"7,5"
Магия и мускулы,"8,8"
Эльф Эдомаэ,"7,6"
Одаривая этот замечательный мир взрывами!,"8,3"
Синий оркестр,"7,8"
Идолмастер: Девушки-золушки — U149,"5,6"
Опус. Цвета,"3,2"
"Другой мир и сестра, которая убивает с одного удара","6,7"
Аллель Кидзуны,"4,9"
Алиса — механизм Эгиды,"4,5"
В другом мире со смартфоном 2,"6,8"
Унеси меня на Луну 2,"8,6"
Девочки-волшебницы: Волшебные разрушительницы,"7,1"
Доктор Стоун: Новый мир,"9,2"
Ми-ми-ми-мишка 2,"7,8"
Бессонница после школы,"8,9"
Внук Нурарихёна: Тысячелетняя столица духов,"8,8"
Внук Нурарихёна,"8,5"
Пингвиний барабан,"7,3"
Записная книжка Бога,"7,7"
Атака титанов: Финал — Заключительная глава,"9,2"
Эф — история мелодий,"7,9"
Эф — история воспоминаний,"8,3"
Ускоренный мир,"7,8"
Дракон-горничная госпожи Кобаяси 2: Японское гостеприимство — Присутствие дракона,"8,8"
Алиса и Зороку,"8,1"
Озорная Такаги. Фильм,"9,1"
Повесть о конце света 2,"9,0"
Дзюндзи Ито: Маньяк,"7,3"
Путь домохозяина 2,"9,0"
Старшая карта,"8,2"
